"Time (s)","Pressure (hPa)"
3.658805829E1,9.872142944E2
3.662805657E1,9.872139282E2
3.666806131E1,9.872152710E2
3.670806730E1,9.872171631E2
3.674806470E1,9.872207642E2
3.678806839E1,9.872236938E2
3.682806897E1,9.872238770E2
3.686806605E1,9.872222900E2
3.690805595E1,9.872230835E2
3.694805959E1,9.872229004E2
3.698806157E1,9.872204590E2
3.702806235E1,9.872209473E2
3.706806574E1,9.872209473E2
3.710806673E1,9.872201538E2
3.714806876E1,9.872180176E2
3.718806584E1,9.872188110E2
3.722805824E1,9.872211304E2
3.726806063E1,9.872256470E2
3.730806704E1,9.872258301E2
3.734806131E1,9.872263184E2
3.738806105E1,9.872279053E2
3.742807058E1,9.872279663E2
3.746806720E1,9.872252197E2
3.750806673E1,9.872245483E2
3.754806100E1,9.872269897E2
3.758806027E1,9.872276001E2
3.762805902E1,9.872261963E2
3.766806496E1,9.872269287E2
3.770806209E1,9.872276611E2
3.774806944E1,9.872238770E2
3.778806782E1,9.872238770E2
3.782806818E1,9.872269897E2
3.786806115E1,9.872276611E2
3.790805928E1,9.872287598E2
3.794806058E1,9.872310791E2
3.798806261E1,9.872295532E2
3.802806365E1,9.872252197E2
3.806806522E1,9.872219238E2
3.810806595E1,9.872194824E2
3.814806798E1,9.872188110E2
3.818806657E1,9.872197876E2
3.822805855E1,9.872239990E2
3.826805839E1,9.872289429E2
3.830806235E1,9.872316895E2
3.834806418E1,9.872354126E2
3.838806183E1,9.872385254E2
3.842806813E1,9.872369385E2
3.846805855E1,9.872344971E2
3.850805964E1,9.872332764E2
3.854805944E1,9.872301025E2
3.858805589E1,9.872282715E2
3.862806209E1,9.872310791E2
3.866807199E1,9.872340088E2
3.870806444E1,9.872379150E2
3.874807006E1,9.872393799E2
3.878806668E1,9.872411499E2
3.882806683E1,9.872418213E2
3.886805740E1,9.872411499E2
3.890805860E1,9.872418213E2
3.894806261E1,9.872459717E2
3.898806183E1,9.872471313E2
3.902806652E1,9.872455444E2
3.906806902E1,9.872484741E2
3.910806725E1,9.872523804E2
3.914806751E1,9.872551270E2
3.918805589E1,9.872598267E2
3.922805959E1,9.872648926E2
3.926805626E1,9.872674561E2
3.930806079E1,9.872671509E2
3.934806313E1,9.872660522E2
3.938806725E1,9.872658691E2
3.942806631E1,9.872684326E2
3.946806636E1,9.872695923E2
3.950806605E1,9.872691650E2
3.954805527E1,9.872717285E2
3.958805537E1,9.872754517E2
3.962806209E1,9.872767944E2
3.966806522E1,9.872769165E2
3.970806212E1,9.872782593E2
3.974806472E1,9.872818604E2
3.978806478E1,9.872826538E2
3.982806530E1,9.872821045E2
3.986805530E1,9.872846069E2
3.990805337E1,9.872875366E2
3.994806498E1,9.872876587E2
3.998805900E1,9.872904663E2
4.002805978E1,9.872959595E2
4.006806702E1,9.872998657E2
4.010806832E1,9.873059082E2
4.014806592E1,9.873104858E2
4.018805488E1,9.873107910E2
4.022805509E1,9.873114624E2
4.026806472E1,9.873125610E2
4.030806134E1,9.873095093E2
4.034806394E1,9.873070679E2
4.038806639E1,9.873099976E2
4.042807113E1,9.873115845E2
4.046805472E1,9.873133545E2
4.050805769E1,9.873189697E2
4.054805259E1,9.873234863E2
4.058806603E1,9.873238525E2
4.062806056E1,9.873256226E2
4.066806264E1,9.873265991E2
4.070806795E1,9.873258057E2
4.074806540E1,9.873270264E2
4.078806108E1,9.873299561E2
4.082806499E1,9.873308105E2
4.086805775E1,9.873317871E2
4.090806327E1,9.873338623E2
4.094806004E1,9.873345947E2
4.098806212E1,9.873326416E2
4.102806806E1,9.873340454E2
4.106806472E1,9.873380127E2
4.110806441E1,9.873395996E2
4.114806566E1,9.873417358E2
4.118805426E1,9.873467407E2
4.122805426E1,9.873492432E2
4.126806212E1,9.873475342E2
4.130806134E1,9.873465576E2
4.134806186E1,9.873467407E2
4.138806816E1,9.873472900E2
4.142806936E1,9.873477173E2
4.146806389E1,9.873487549E2
4.150805530E1,9.873504639E2
4.154805415E1,9.873506470E2
4.158806004E1,9.873486938E2
4.162806056E1,9.873479004E2
4.166806030E1,9.873519897E2
4.170806806E1,9.873560181E2
4.174806483E1,9.873598022E2
4.178806691E1,9.873658447E2
4.182805571E1,9.873697510E2
4.186805806E1,9.873701782E2
4.190806108E1,9.873705444E2
4.194806498E1,9.873702393E2
4.198806290E1,9.873682251E2
4.202806910E1,9.873685913E2
4.206806696E1,9.873690186E2
4.210807035E1,9.873701782E2
4.214805577E1,9.873728027E2
4.218805827E1,9.873747559E2
4.222806498E1,9.873739014E2
4.226806134E1,9.873729248E2
4.230806134E1,9.873726807E2
4.234806535E1,9.873731079E2
4.238806655E1,9.873742676E2
4.242806545E1,9.873773193E2
4.246805629E1,9.873809204E2
4.250805592E1,9.873820801E2
4.254805801E1,9.873817749E2
4.258806238E1,9.873811035E2
4.262806290E1,9.873795166E2
4.266807113E1,9.873773804E2
4.270806754E1,9.873760376E2
4.274805644E1,9.873754272E2
4.278806728E1,9.873764038E2
4.282805592E1,9.873779907E2
4.286805462E1,9.873806152E2
4.290806082E1,9.873845215E2
4.294806316E1,9.873863525E2
4.298806551E1,9.873869629E2
4.302806566E1,9.873887939E2
4.306806769E1,9.873906860E2
4.310806535E1,9.873908691E2
4.314805415E1,9.873930054E2
4.318805353E1,9.873953857E2
4.322806134E1,9.873956299E2
4.326806264E1,9.873965454E2
4.330806160E1,9.873986816E2
4.334806431E1,9.873988037E2
4.338806509E1,9.873986816E2
4.342806228E1,9.873994751E2
4.346805431E1,9.873988647E2
4.350805446E1,9.873986816E2
4.354806160E1,9.873994751E2
4.358806056E1,9.873988647E2
4.362805952E1,9.873992920E2
4.366806582E1,9.874029541E2
4.370806493E1,9.874051514E2
4.374806478E1,9.874050293E2
4.378805467E1,9.874082642E2
4.382805644E1,9.874117432E2
4.386806186E1,9.874115601E2
4.390806212E1,9.874105835E2
4.394805900E1,9.874125366E2
4.398806509E1,9.874139404E2
4.402806931E1,9.874132080E2
4.406806519E1,9.874141235E2
4.410805639E1,9.874171143E2
4.414805874E1,9.874183960E2
4.418805681E1,9.874195557E2
4.422806108E1,9.874227295E2
4.426806264E1,9.874229126E2
4.430806566E1,9.874238892E2
4.434806467E1,9.874282837E2
4.438806441E1,9.874324951E2
4.442805571E1,9.874369507E2
4.446805295E1,9.874419556E2
4.450805436E1,9.874439697E2
4.454806108E1,9.874436035E2
4.458806342E1,9.874443970E2
4.462806472E1,9.874443970E2
4.466806702E1,9.874449463E2
4.470806571E1,9.874488525E2
4.474806561E1,9.874532471E2
4.478805525E1,9.874549561E2
4.482805269E1,9.874556274E2
4.486806004E1,9.874574585E2
4.490806108E1,9.874598389E2
4.494806134E1,9.874615479E2
4.498806691E1,9.874644775E2
4.502806603E1,9.874707642E2
4.506806514E1,9.874764404E2
4.510805696E1,9.874808960E2
4.514805348E1,9.874831543E2
4.518805978E1,9.874849854E2
4.522806004E1,9.874851074E2
4.526805978E1,9.874855957E2
4.530806452E1,9.874865723E2
4.534806676E1,9.874918213E2
4.538806556E1,9.874981079E2
4.542805498E1,9.874996338E2
4.546805889E1,9.875000610E2
4.550805978E1,9.875020752E2
4.554805926E1,9.875018311E2
4.558805978E1,9.875030518E2
4.562806618E1,9.875101318E2
4.566806540E1,9.875174561E2
4.570806634E1,9.875222168E2
4.574806514E1,9.875295410E2
4.578805780E1,9.875332642E2
4.582805644E1,9.875338135E2
4.586806030E1,9.875375366E2
4.590805952E1,9.875414429E2
4.594806441E1,9.875430908E2
4.598806665E1,9.875461426E2
4.602806650E1,9.875507202E2
4.606805577E1,9.875523682E2
4.610805238E1,9.875544434E2
4.614805238E1,9.875576782E2
4.618806030E1,9.875609741E2
4.622805978E1,9.875657959E2
4.626806056E1,9.875711670E2
4.630806426E1,9.875744629E2
4.634806577E1,9.875762329E2
4.638806624E1,9.875785522E2
4.642805655E1,9.875819092E2
4.646805353E1,9.875853882E2
4.650805926E1,9.875880127E2
4.654806082E1,9.875899048E2
4.658805978E1,9.875913696E2
4.662806853E1,9.875902710E2
4.666806478E1,9.875885010E2
4.670806441E1,9.875892334E2
4.674805566E1,9.875925293E2
4.678805446E1,9.875953369E2
4.682806420E1,9.875986938E2
4.686805978E1,9.876032715E2
4.690806306E1,9.876070557E2
4.694806624E1,9.876102295E2
4.698805853E1,9.876151123E2
4.702806441E1,9.876187744E2
4.706805561E1,9.876213379E2
4.710805816E1,9.876260376E2
4.714806368E1,9.876297607E2
4.718806967E1,9.876325684E2
