"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.353292769E0,-1.480146646E-1,7.668304443E-2,-1.019029617E-1
1.358292769E0,-1.216547489E-1,9.847640991E-2,-6.474208832E-2
1.363292769E0,-1.119678020E-1,1.095666885E-1,-1.633739471E-2
1.368292769E0,-1.106775999E-1,9.534025192E-2,4.649734497E-2
1.373292769E0,-1.086864471E-1,9.492921829E-2,7.709312439E-2
1.378292769E0,-1.011873484E-1,7.112884521E-2,7.351493835E-2
1.383292769E0,-9.189128876E-2,5.358791351E-2,7.258605957E-2
1.388292769E0,-9.655523300E-2,2.832889557E-2,8.663654327E-2
1.393292769E0,-1.025992632E-1,-1.993560791E-2,9.265899658E-2
1.398292769E0,-1.166292429E-1,-7.281923294E-2,9.807777405E-2
1.403292769E0,-1.575542688E-1,-9.329700470E-2,1.069726944E-1
1.408292769E0,-2.440274954E-1,-9.958314896E-2,1.220178604E-1
1.413292769E0,-3.109472990E-1,-1.032366753E-1,1.467962265E-1
1.418292769E0,-3.539485931E-1,-9.259986877E-2,1.770439148E-1
1.423292769E0,-3.512662649E-1,-8.867120743E-2,1.981420517E-1
1.428292769E0,-3.280636072E-1,-5.596303940E-2,2.362174988E-1
1.433292769E0,-2.864816189E-1,-4.620790482E-2,2.611789703E-1
1.438292769E0,-2.406529188E-1,-6.326007843E-2,2.578954697E-1
1.443292769E0,-2.107659578E-1,-7.901430130E-2,2.502870560E-1
1.448292769E0,-1.740357876E-1,-9.187889099E-2,2.536125183E-1
1.453292769E0,-1.517466307E-1,-1.004605293E-1,2.915258408E-1
1.458292769E0,-1.023625135E-1,-9.563541412E-2,3.701686859E-1
1.463292769E0,-3.375303745E-2,-8.213663101E-2,4.393453598E-1
1.468292769E0,7.778036594E-2,-5.826473236E-2,4.370393753E-1
1.473292769E0,1.829185486E-1,-4.062938690E-2,3.881254196E-1
1.478292769E0,2.103258371E-1,-4.881525040E-2,3.173007965E-1
1.483292769E0,1.902885437E-1,-3.511810303E-2,2.605772018E-1
1.488292769E0,1.512835026E-1,-1.115226746E-2,1.939191818E-1
1.493292769E0,9.518516064E-2,5.185127258E-3,1.245040894E-1
1.498292769E0,2.272248268E-2,4.977655411E-2,7.298946381E-2
1.503292769E0,-5.543589592E-3,1.040687561E-1,2.881813049E-2
1.508292769E0,3.254580498E-2,1.666150093E-1,1.282501221E-2
1.513292769E0,9.097826481E-2,2.139964104E-1,2.565288544E-2
1.518292769E0,1.284079552E-1,2.470698357E-1,2.681064606E-2
1.523292769E0,1.438796520E-1,2.512183189E-1,8.487701416E-3
1.528292769E0,1.224917173E-1,2.047472000E-1,1.205539703E-2
1.533292769E0,-3.023540974E-2,3.529548645E-2,-3.253459930E-2
1.538292769E0,-3.220770359E-1,-2.109103203E-1,-1.700997353E-1
1.543292769E0,-1.649780273E-1,2.479887009E-2,-6.172084808E-2
1.548292769E0,-8.486366272E-2,1.490583420E-1,-6.715440750E-2
1.553292769E0,-4.195928574E-2,2.635202408E-1,2.347040176E-2
1.558292769E0,-2.960228920E-2,3.001179695E-1,1.209597588E-1
1.563292769E0,-7.040262222E-3,2.955236435E-1,1.532135010E-1
1.568292769E0,6.552326679E-2,3.040080070E-1,1.853089333E-1
1.573292769E0,1.622357368E-1,3.342027664E-1,2.164325714E-1
1.578292769E0,2.936053276E-1,2.943921089E-1,2.703213692E-1
1.583292769E0,2.848619223E-1,3.515009880E-1,2.830615044E-1
1.588292769E0,2.147337198E-1,3.331065178E-1,2.323441505E-1
1.593292769E0,3.723263741E-2,2.764863968E-1,1.132555008E-1
1.598292769E0,-8.061528206E-3,1.649212837E-1,-4.621791840E-2
1.603292769E0,9.104704857E-2,1.410341263E-1,-1.174998283E-1
1.608292769E0,1.998233795E-1,1.313467026E-1,-3.437223434E-1
