"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.215829277E1,-8.129709214E-2,-2.044333667E-1,-9.804182053E0
1.216329277E1,-8.134511113E-2,-2.046398371E-1,-9.804178238E0
1.216829277E1,-8.153963834E-2,-2.046738416E-1,-9.804174423E0
1.217329277E1,-8.172741532E-2,-2.046779543E-1,-9.804173470E0
1.217829277E1,-8.201120049E-2,-2.048350126E-1,-9.804167747E0
1.218329277E1,-8.245513588E-2,-2.050882131E-1,-9.804159164E0
1.218829277E1,-8.248136193E-2,-2.054036260E-1,-9.804151535E0
1.219329277E1,-8.246511221E-2,-2.057253867E-1,-9.804144859E0
1.219829277E1,-8.229164034E-2,-2.056107074E-1,-9.804148674E0
1.220329277E1,-8.175291121E-2,-2.053685635E-1,-9.804158211E0
1.220829277E1,-8.087585121E-2,-2.049666494E-1,-9.804173470E0
1.221329277E1,-8.025117218E-2,-2.047677934E-1,-9.804183960E0
1.221829277E1,-7.962857187E-2,-2.051067054E-1,-9.804181099E0
1.222329277E1,-7.897637784E-2,-2.057913691E-1,-9.804172516E0
1.222829277E1,-7.817787677E-2,-2.064467221E-1,-9.804165840E0
1.223329277E1,-7.741014659E-2,-2.069237828E-1,-9.804162025E0
1.223829277E1,-7.622805983E-2,-2.070799917E-1,-9.804166794E0
1.224329277E1,-7.530130446E-2,-2.071393430E-1,-9.804172516E0
1.224829277E1,-7.498890907E-2,-2.073241174E-1,-9.804171562E0
1.225329277E1,-7.499833405E-2,-2.073786259E-1,-9.804170609E0
1.225829277E1,-7.520159334E-2,-2.072816789E-1,-9.804170609E0
1.226329277E1,-7.574324310E-2,-2.072151005E-1,-9.804167747E0
1.226829277E1,-7.605754584E-2,-2.069836706E-1,-9.804170609E0
1.227329277E1,-7.556400448E-2,-2.067843229E-1,-9.804178238E0
1.227829277E1,-7.452618331E-2,-2.066929489E-1,-9.804188728E0
1.228329277E1,-7.336740941E-2,-2.065918893E-1,-9.804198265E0
1.228829277E1,-7.192242146E-2,-2.067097872E-1,-9.804206848E0
1.229329277E1,-7.073273510E-2,-2.068920434E-1,-9.804212570E0
1.229829277E1,-6.980831921E-2,-2.071992606E-1,-9.804212570E0
1.230329277E1,-6.899464875E-2,-2.074398547E-1,-9.804213524E0
1.230829277E1,-6.827698648E-2,-2.074469775E-1,-9.804218292E0
1.231329277E1,-6.774282455E-2,-2.075818330E-1,-9.804219246E0
1.231829277E1,-6.774678081E-2,-2.076431215E-1,-9.804218292E0
1.232329277E1,-6.791050732E-2,-2.077845186E-1,-9.804213524E0
1.232829277E1,-6.806131452E-2,-2.080242038E-1,-9.804207802E0
1.233329277E1,-6.813840568E-2,-2.080259621E-1,-9.804206848E0
1.233829277E1,-6.781900674E-2,-2.078129500E-1,-9.804213524E0
1.234329277E1,-6.696002930E-2,-2.075000256E-1,-9.804225922E0
1.234829277E1,-6.575649977E-2,-2.073441446E-1,-9.804237366E0
1.235329277E1,-6.440609694E-2,-2.072052807E-1,-9.804249763E0
1.235829277E1,-6.311853230E-2,-2.075311095E-1,-9.804250717E0
1.236329277E1,-6.211290881E-2,-2.076294124E-1,-9.804254532E0
1.236829277E1,-6.143326312E-2,-2.076907605E-1,-9.804258347E0
1.237329277E1,-6.079280749E-2,-2.077018172E-1,-9.804261208E0
1.237829277E1,-6.074490398E-2,-2.077826113E-1,-9.804260254E0
1.238329277E1,-6.081819907E-2,-2.080163062E-1,-9.804254532E0
1.238829277E1,-6.076560915E-2,-2.082596868E-1,-9.804249763E0
1.239329277E1,-6.056451052E-2,-2.084754258E-1,-9.804246902E0
1.239829277E1,-6.024560705E-2,-2.086276412E-1,-9.804245949E0
