"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.076111020E-1,-2.255618125E-1,3.987419903E-1,-2.648098767E-1
5.097303210E-1,-2.218966335E-1,3.877464235E-1,-2.696968019E-1
5.118488100E-1,-2.182314396E-1,3.767508566E-1,-2.745837271E-1
5.139676120E-1,-2.133445293E-1,3.681987524E-1,-2.806923687E-1
5.160864670E-1,-2.047924101E-1,3.620901108E-1,-2.831358314E-1
5.182053210E-1,-2.011272311E-1,3.547597229E-1,-2.868010104E-1
5.203241750E-1,-1.974620372E-1,3.498727977E-1,-2.916879356E-1
5.224429770E-1,-1.913533956E-1,3.437641561E-1,-2.929096520E-1
5.245618310E-1,-1.864664704E-1,3.400989771E-1,-2.965748608E-1
5.266806850E-1,-1.815795600E-1,3.339903057E-1,-2.977965772E-1
5.287995400E-1,-1.779143661E-1,3.291034102E-1,-3.002400398E-1
5.309183940E-1,-1.718057245E-1,3.242164850E-1,-3.002400398E-1
5.330371960E-1,-1.669187993E-1,3.193295598E-1,-3.002400398E-1
5.351560500E-1,-1.620318890E-1,3.119991720E-1,-2.977965772E-1
5.372749040E-1,-1.571449637E-1,3.046688139E-1,-2.953531146E-1
5.393937580E-1,-1.510363221E-1,2.961167097E-1,-2.953531146E-1
5.415125600E-1,-1.473711282E-1,2.887863219E-1,-2.916879356E-1
5.436314150E-1,-1.412624866E-1,2.802342176E-1,-2.904661894E-1
5.457502690E-1,-1.363755614E-1,2.692386508E-1,-2.892444730E-1
5.478691230E-1,-1.327103674E-1,2.619082630E-1,-2.855792940E-1
5.499879250E-1,-1.278234571E-1,2.509126961E-1,-2.831358314E-1
5.521067790E-1,-1.180496216E-1,2.448040545E-1,-2.819140851E-1
5.542256330E-1,-1.131627038E-1,2.325867712E-1,-2.782489061E-1
5.563444870E-1,-1.046105921E-1,2.228129357E-1,-2.745837271E-1
5.584632900E-1,-9.972367436E-2,2.130390853E-1,-2.696968019E-1
5.605821440E-1,-9.117157012E-2,2.044869810E-1,-2.648098767E-1
5.627009980E-1,-8.506292105E-2,1.947131455E-1,-2.599229515E-1
5.648198520E-1,-7.773254067E-2,1.824958473E-1,-2.538143098E-1
5.669387060E-1,-7.284562290E-2,1.727220118E-1,-2.489273995E-1
5.690575080E-1,-6.429351866E-2,1.617264450E-1,-2.428187430E-1
5.711763620E-1,-5.940660089E-2,1.519526094E-1,-2.379318327E-1
5.732952170E-1,-5.207622424E-2,1.421787739E-1,-2.330449075E-1
5.754140190E-1,-4.596757516E-2,1.324049383E-1,-2.269362658E-1
5.775328730E-1,-3.741546720E-2,1.226311028E-1,-2.220493406E-1
5.796517270E-1,-3.375028074E-2,1.140789986E-1,-2.159406990E-1
5.817705810E-1,-2.886336111E-2,1.067486182E-1,-2.110537887E-1
5.838894350E-1,-2.275471389E-2,9.819651395E-2,-2.061668634E-1
5.860082370E-1,-1.664606482E-2,9.086613357E-2,-2.012799382E-1
5.881270920E-1,-1.175914705E-2,8.353576064E-2,-1.951712966E-1
5.902459460E-1,-6.872228812E-3,7.376192510E-2,-1.915061027E-1
5.923648000E-1,-3.207040019E-3,6.398808211E-2,-1.866191924E-1
5.944836020E-1,4.581485991E-4,5.543597788E-2,-1.841757298E-1
5.966024560E-1,1.679878100E-3,4.688387364E-2,-1.817322671E-1
5.987213100E-1,1.679878100E-3,3.344484791E-2,-1.756236255E-1
6.008401650E-1,5.345067009E-3,2.122755162E-2,-1.719584316E-1
6.029589670E-1,2.901607659E-3,1.023198478E-2,-1.695149690E-1
6.050778210E-1,6.566796452E-3,-3.207040019E-3,-1.646280587E-1
6.071966750E-1,7.788525894E-3,-1.175914705E-2,-1.597411335E-1
6.093155290E-1,9.010255337E-3,-2.397644334E-2,-1.560759544E-1
6.114343310E-1,1.023198478E-2,-3.497200832E-2,-1.511890292E-1
6.135531850E-1,1.267544460E-2,-4.352411628E-2,-1.475238502E-1
6.156720400E-1,1.634063199E-2,-4.963276163E-2,-1.426369250E-1
6.177908940E-1,1.756236330E-2,-5.940660089E-2,-1.401934624E-1
6.199096960E-1,1.878409274E-2,-6.307178736E-2,-1.377500147E-1
6.220285500E-1,2.244928107E-2,-6.673697382E-2,-1.340848207E-1
6.241474040E-1,2.367101051E-2,-7.284562290E-2,-1.328630894E-1
6.262662580E-1,2.489273995E-2,-7.651081681E-2,-1.304196268E-1
6.283851120E-1,2.855792828E-2,-8.261945844E-2,-1.279761642E-1
6.305039150E-1,2.977965772E-2,-8.994983882E-2,-1.267544478E-1
6.326227690E-1,3.222311661E-2,-9.605848789E-2,-1.243109852E-1
6.347416230E-1,3.466657549E-2,-1.009454057E-1,-1.206457913E-1
6.368604250E-1,3.711003438E-2,-1.082757786E-1,-1.194240674E-1
6.389792790E-1,4.199695215E-2,-1.131627038E-1,-1.182023361E-1
6.410981330E-1,4.688387364E-2,-1.204930767E-1,-1.157588735E-1
6.432169870E-1,5.177079141E-2,-1.266017258E-1,-1.145371497E-1
6.453358420E-1,5.299251899E-2,-1.302669197E-1,-1.133154184E-1
6.474546440E-1,5.665770918E-2,-1.351538301E-1,-1.145371497E-1
6.495734980E-1,5.910116807E-2,-1.424842030E-1,-1.145371497E-1
6.516923520E-1,6.276635826E-2,-1.461493969E-1,-1.157588735E-1
6.538112060E-1,6.643154472E-2,-1.522580534E-1,-1.182023361E-1
6.559300080E-1,7.009673119E-2,-1.534797698E-1,-1.218675226E-1
6.580488620E-1,7.498364896E-2,-1.595884264E-1,-1.267544478E-1
6.601677170E-1,7.987056673E-2,-1.656970680E-1,-1.304196268E-1
6.622865710E-1,8.475748450E-2,-1.742491722E-1,-1.365282834E-1
6.644053730E-1,9.086613357E-2,-1.791360974E-1,-1.414151937E-1
6.665242270E-1,9.453132749E-2,-1.876882017E-1,-1.499672979E-1
6.686430810E-1,1.006399691E-1,-1.937968582E-1,-1.560759544E-1
6.707619350E-1,1.067486182E-1,-1.950185746E-1,-1.670715213E-1
6.728807370E-1,1.128572673E-1,-1.999054998E-1,-1.744018942E-1
6.749995920E-1,1.226311028E-1,-2.072358727E-1,-1.792888194E-1
6.771184460E-1,1.287397593E-1,-2.170097083E-1,-1.841757298E-1
6.792373000E-1,1.372918636E-1,-2.328922004E-1,-1.878409237E-1
6.813561020E-1,1.434005052E-1,-2.451094985E-1,-1.915061027E-1
6.834749560E-1,1.531743407E-1,-2.561050653E-1,-1.951712966E-1
6.855938100E-1,1.592829973E-1,-2.658788860E-1,-2.000582218E-1
6.877126650E-1,1.678351015E-1,-2.768744528E-1,-2.049451321E-1
6.898315190E-1,1.763872057E-1,-2.878700197E-1,-2.098320574E-1
6.919503210E-1,1.837175786E-1,-2.976438701E-1,-2.171624303E-1
6.940691750E-1,1.898262352E-1,-3.049742281E-1,-2.306014597E-1
6.961880290E-1,1.983783394E-1,-3.123046160E-1,-2.367101014E-1
6.983068830E-1,2.069304436E-1,-3.208567202E-1,-2.403752953E-1
7.004256850E-1,2.167042792E-1,-3.355174661E-1,-2.428187430E-1
7.025445400E-1,2.252563834E-1,-3.538434207E-1,-2.489273995E-1
7.046633940E-1,2.362519503E-1,-3.721693754E-1,-2.574795187E-1
7.067822480E-1,2.448040545E-1,-3.904953003E-1,-2.635881603E-1
7.089011020E-1,2.533561587E-1,-4.014908671E-1,-2.648098767E-1
7.110199040E-1,2.619082630E-1,-4.088212550E-1,-2.635881603E-1
7.131387580E-1,2.704603672E-1,-4.149298966E-1,-2.635881603E-1
7.152576120E-1,2.790125012E-1,-4.161516428E-1,-2.648098767E-1
7.173764150E-1,2.838993967E-1,-4.198168218E-1,-2.623664141E-1
