"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
8.332927690E-1,4.514418950E-1,1.978644431E-1,2.113414556E-1,8.440288305E-1,1.263275357E2,3.275036480E1,-8.232469380E0,1.212955393E2
8.382927690E-1,4.516221398E-1,1.982352585E-1,2.112045884E-1,8.438796401E-1,1.263043870E2,3.276140671E1,-8.268031135E0,1.212567203E2
8.432927690E-1,4.518042074E-1,1.986068338E-1,2.111049891E-1,8.437197208E-1,1.262810019E2,3.277640228E1,-8.301422039E0,1.212174217E2
8.482927690E-1,4.519942541E-1,1.989654005E-1,2.110548615E-1,8.435459733E-1,1.262565892E2,3.279578117E1,-8.330431963E0,1.211774343E2
8.532927690E-1,4.521899793E-1,1.993151605E-1,2.110633105E-1,8.433563709E-1,1.262314444E2,3.282073130E1,-8.354998955E0,1.211368080E2
8.582927690E-1,4.523795552E-1,1.996566057E-1,2.111282945E-1,8.431576490E-1,1.262070869E2,3.285096962E1,-8.375716825E0,1.210970167E2
8.632927690E-1,4.525543294E-1,1.999925226E-1,2.112440467E-1,8.429552317E-1,1.261846289E2,3.288600173E1,-8.393492611E0,1.210590501E2
8.682927690E-1,4.527063511E-1,2.003141642E-1,2.113997340E-1,8.427581787E-1,1.261650927E2,3.292407378E1,-8.408442513E0,1.210243663E2
8.732927690E-1,4.528231035E-1,2.006162107E-1,2.115970850E-1,8.425740600E-1,1.261500878E2,3.296491174E1,-8.420439729E0,1.209947769E2
8.782927690E-1,4.528990984E-1,2.008818835E-1,2.118237466E-1,8.424129486E-1,1.261403204E2,3.300610590E1,-8.428867151E0,1.209718130E2
8.832927690E-1,4.529356307E-1,2.010838240E-1,2.120689452E-1,8.422834277E-1,1.261356249E2,3.304478405E1,-8.431795107E0,1.209566366E2
8.882927690E-1,4.529231448E-1,2.012148201E-1,2.123350352E-1,8.421918154E-1,1.261372297E2,3.308063859E1,-8.428786848E0,1.209507783E2
8.932927690E-1,4.528732072E-1,2.012592852E-1,2.125864923E-1,8.421446085E-1,1.261436482E2,3.310908664E1,-8.420060811E0,1.209536959E2
8.982927690E-1,4.527830479E-1,2.012199163E-1,2.128126174E-1,8.421453834E-1,1.261552358E2,3.312917345E1,-8.406598408E0,1.209656718E2
9.032927690E-1,4.526519804E-1,2.011082470E-1,2.130103260E-1,8.421925306E-1,1.261720800E2,3.314132233E1,-8.389668111E0,1.209862741E2
9.082927690E-1,4.524807832E-1,2.009424418E-1,2.131783664E-1,8.422815800E-1,1.261940797E2,3.314658738E1,-8.370983332E0,1.210145674E2
9.132927690E-1,4.522775166E-1,2.007412165E-1,2.133147866E-1,8.424041867E-1,1.262201976E2,3.314604569E1,-8.352075987E0,1.210486792E2
9.182927690E-1,4.520555825E-1,2.005183846E-1,2.134359181E-1,8.425456882E-1,1.262487107E2,3.314239254E1,-8.332762645E0,1.210862001E2
9.232927690E-1,4.518252483E-1,2.002744824E-1,2.135622054E-1,8.426952362E-1,1.262782992E2,3.313786751E1,-8.311517534E0,1.211257074E2
9.282927690E-1,4.515920722E-1,2.000227869E-1,2.136992067E-1,8.428452611E-1,1.263082488E2,3.313394873E1,-8.289032300E0,1.211658613E2
9.332927690E-1,4.513437306E-1,1.997755617E-1,2.138581276E-1,8.429965973E-1,1.263401419E2,3.313248339E1,-8.266243631E0,1.212075860E2
9.382927690E-1,4.510842185E-1,1.995361596E-1,2.140430659E-1,8.431452513E-1,1.263734648E2,3.313414552E1,-8.243076448E0,1.212502053E2
