"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.072076590E2,4.168125153E1,-1.633125114E1,-3.166875076E1
1.072176590E2,4.756875229E1,-1.706250000E1,-3.045000076E1
1.072276590E2,4.605000305E1,-1.605000114E1,-3.050625038E1
1.072376590E2,3.810000229E1,-1.593750095E1,-2.647500038E1
1.072476590E2,3.030000114E1,-1.830000114E1,-2.662500191E1
1.072576590E2,3.185625076E1,-1.650000000E1,-2.775000191E1
1.072676590E2,3.958125305E1,-1.721250153E1,-3.030000114E1
1.072776590E2,4.599375153E1,-1.910625076E1,-3.258750153E1
1.072876590E2,4.599375153E1,-1.588125038E1,-3.003750038E1
1.072976590E2,3.937500000E1,-1.636875153E1,-2.739375114E1
1.073076590E2,3.176250076E1,-1.741875076E1,-2.595000076E1
1.073176590E2,3.324375153E1,-1.638750076E1,-2.668125153E1
1.073276590E2,3.952500153E1,-1.800000000E1,-2.992500114E1
1.073376590E2,4.678125000E1,-1.760625076E1,-3.163125038E1
1.073476590E2,4.670625305E1,-1.610625076E1,-2.848125076E1
1.073576590E2,3.843750000E1,-1.706250000E1,-2.795625114E1
1.073676590E2,3.262500000E1,-1.571250057E1,-2.343750000E1
1.073776590E2,3.187500191E1,-1.771875000E1,-2.561250114E1
1.073876590E2,3.976875305E1,-1.796250153E1,-2.883750153E1
1.073976590E2,4.668750000E1,-1.552500057E1,-3.009375191E1
1.074076590E2,4.685625076E1,-1.597500038E1,-2.988750076E1
1.074176590E2,3.851250076E1,-1.543125057E1,-2.591250038E1
1.074276590E2,3.054375076E1,-1.734375000E1,-2.655000114E1
1.074376590E2,3.075000191E1,-1.736250114E1,-2.765625191E1
1.074476590E2,4.003125000E1,-1.719375038E1,-3.078750038E1
1.074576590E2,4.646250153E1,-1.790625000E1,-3.035625076E1
1.074676590E2,4.723125076E1,-1.768125153E1,-2.913750076E1
1.074776590E2,3.866250229E1,-1.683750153E1,-2.548125076E1
1.074876590E2,2.923125076E1,-1.860000038E1,-2.283750153E1
1.074976590E2,3.054375076E1,-1.796250153E1,-2.604375076E1
1.075076590E2,3.791250229E1,-1.788750076E1,-2.788125038E1
1.075176590E2,4.777500153E1,-1.706250000E1,-3.091875076E1
1.075276590E2,4.620000076E1,-1.713750076E1,-3.009375191E1
1.075376590E2,3.795000076E1,-1.545000076E1,-2.589375114E1
1.075476590E2,2.943750191E1,-1.736250114E1,-2.497500038E1
1.075576590E2,2.823750114E1,-1.854375076E1,-2.486250114E1
1.075676590E2,3.806250000E1,-1.691250038E1,-2.701875114E1
1.075776590E2,4.642500305E1,-1.711875153E1,-3.011250114E1
1.075876590E2,4.640625000E1,-1.599375057E1,-2.941875076E1
1.075976590E2,3.881250000E1,-1.492500019E1,-2.563125038E1
1.076076590E2,3.020625114E1,-1.443750095E1,-2.351250076E1
1.076176590E2,2.898750114E1,-1.831875038E1,-2.426250076E1
1.076276590E2,4.044375229E1,-1.586250019E1,-2.887500191E1
1.076376590E2,4.710000229E1,-1.856250000E1,-3.249375153E1
1.076476590E2,4.668750000E1,-1.612500000E1,-2.925000191E1
1.076576590E2,3.751875305E1,-1.659375000E1,-2.580000114E1
1.076676590E2,2.938125038E1,-1.666875076E1,-2.253750038E1
1.076776590E2,2.883750153E1,-1.515000057E1,-2.343750000E1
1.076876590E2,3.866250229E1,-1.591875076E1,-2.696250153E1
1.076976590E2,4.830000305E1,-1.687500000E1,-3.108750153E1
1.077076590E2,4.770000076E1,-1.455000019E1,-3.144375038E1
1.077176590E2,3.864375305E1,-1.591875076E1,-2.726250076E1
1.077276590E2,2.906250191E1,-1.575000095E1,-2.291250038E1
1.077376590E2,2.971875191E1,-1.636875153E1,-2.381250000E1
1.077476590E2,3.770625305E1,-1.725000000E1,-2.730000114E1
1.077576590E2,4.672500229E1,-1.715625000E1,-3.275625229E1
1.077676590E2,4.816875076E1,-1.751250076E1,-3.120000076E1
1.077776590E2,3.909375000E1,-1.498125076E1,-2.829375076E1
1.077876590E2,2.996250153E1,-1.507500076E1,-2.345625114E1
1.077976590E2,2.756250191E1,-1.948125076E1,-2.274375153E1
1.078076590E2,3.840000153E1,-1.689375114E1,-2.733750153E1
1.078176590E2,4.815000153E1,-1.597500038E1,-3.318750000E1
1.078276590E2,4.824375153E1,-1.548750019E1,-3.230625153E1
1.078376590E2,3.937500000E1,-1.335000038E1,-2.733750153E1
1.078476590E2,2.925000191E1,-1.702500153E1,-2.375625038E1
1.078576590E2,2.780625153E1,-1.790625000E1,-2.366250038E1
1.078676590E2,3.836250305E1,-1.786875153E1,-2.866875076E1
1.078776590E2,4.710000229E1,-1.723125076E1,-3.603750229E1
1.078876590E2,4.951875305E1,-1.591875076E1,-3.369375229E1
1.078976590E2,4.035000229E1,-1.696875000E1,-2.908125114E1
1.079076590E2,2.981250191E1,-1.792500114E1,-2.274375153E1
1.079176590E2,2.915625191E1,-1.762500000E1,-2.197500038E1
1.079276590E2,3.898125076E1,-1.884375000E1,-3.093750191E1
1.079376590E2,4.897500229E1,-2.070000076E1,-3.375000000E1
1.079476590E2,5.083125305E1,-1.860000038E1,-3.676875305E1
1.079576590E2,4.153125000E1,-1.801875114E1,-2.949375153E1
