"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.450935928E1,-1.004985496E-1,-1.770688742E-1,-9.748359680E0
1.451147813E1,-2.871387079E-2,-1.914258152E-1,-9.671789169E0
1.451359699E1,-9.092725813E-2,-1.770688742E-1,-9.805787086E0
1.451571584E1,-2.392822690E-2,-1.627119333E-1,-9.786644936E0
1.451783470E1,-8.614161611E-2,-1.579262912E-1,-9.891928673E0
1.451995355E1,-9.571290761E-2,-2.153540403E-1,-9.848857880E0
1.452207240E1,-8.135596663E-2,-1.866401732E-1,-9.762716293E0
1.452419126E1,-1.339980662E-1,-2.105683982E-1,-9.824930191E0
1.452631011E1,-8.614161611E-2,-1.579262912E-1,-9.734002113E0
1.452842897E1,-1.148554832E-1,-2.249253243E-1,-9.834501266E0
1.453054777E1,-9.092725813E-2,-2.440679073E-1,-9.753145218E0
1.453266662E1,-1.674975902E-1,-2.009970993E-1,-9.777072906E0
1.453478548E1,-1.148554832E-1,-2.297109663E-1,-9.614361763E0
1.453690433E1,-1.866401732E-1,-2.440679073E-1,-9.609575272E0
1.453902319E1,-1.818545163E-1,-2.440679073E-1,-9.681360245E0
1.454114204E1,-1.770688742E-1,-1.914258152E-1,-9.791430473E0
1.454326089E1,-1.818545163E-1,-2.201396823E-1,-9.848857880E0
1.454537975E1,-1.387837082E-1,-2.297109663E-1,-9.628718376E0
1.454749860E1,-2.392822653E-1,-2.536391914E-1,-9.619147301E0
1.454961740E1,-1.531406492E-1,-2.201396823E-1,-9.604789734E0
1.455173626E1,-1.722832322E-1,-1.627119333E-1,-9.801001549E0
1.455385511E1,-1.387837082E-1,-2.105683982E-1,-9.963713646E0
1.455597397E1,-1.483550072E-1,-1.531406492E-1,-9.839286804E0
1.455809282E1,-1.196411327E-1,-1.818545163E-1,-9.561718941E0
1.456021168E1,-1.052841991E-1,-1.627119333E-1,-9.571290970E0
1.456233053E1,-3.828516230E-2,-1.579262912E-1,-9.872786522E0
1.456444938E1,-1.914258115E-2,-1.148554832E-1,-1.001156998E1
1.456656824E1,-2.392822690E-2,-1.627119333E-1,-9.848857880E0
1.456868709E1,-3.349951655E-2,-1.962114573E-1,-9.667003632E0
1.457080595E1,-5.264209956E-2,-2.057827413E-1,-9.604789734E0
1.457292475E1,-2.392822690E-2,-2.344966233E-1,-9.805787086E0
1.457504360E1,-2.392822690E-2,-1.866401732E-1,-9.891928673E0
1.457716246E1,-2.392822690E-2,-2.105683982E-1,-9.786644936E0
1.457928131E1,-6.221338734E-2,-2.536391914E-1,-9.815358162E0
1.458140017E1,-1.435693540E-2,-2.392822653E-1,-9.705288887E0
1.458351902E1,-9.571290761E-2,-2.536391914E-1,-9.738788605E0
1.458563787E1,-1.292124242E-1,-2.679961324E-1,-9.757930756E0
1.458775673E1,-1.292124242E-1,-2.201396823E-1,-9.810572624E0
1.458987558E1,-1.579262912E-1,-2.536391914E-1,-9.796216011E0
1.459199444E1,-1.483550072E-1,-2.249253243E-1,-9.815358162E0
1.459411324E1,-1.435693651E-1,-2.057827413E-1,-9.724431038E0
1.459623209E1,-1.435693651E-1,-2.105683982E-1,-9.748359680E0
1.459835095E1,-1.627119333E-1,-1.962114573E-1,-9.834501266E0
1.460046980E1,-1.292124242E-1,-1.387837082E-1,-9.796216011E0
1.460258865E1,-1.818545163E-1,-1.627119333E-1,-9.891928673E0
1.460470751E1,-1.339980662E-1,-1.531406492E-1,-9.714859962E0
1.460682636E1,-1.292124242E-1,-1.435693651E-1,-9.676574707E0
1.460894522E1,-1.052841991E-1,-1.770688742E-1,-9.824930191E0
1.461106407E1,-5.742774159E-2,-1.244267747E-1,-9.772287369E0
1.461318292E1,-7.178468257E-2,-1.866401732E-1,-9.896714211E0
1.461530178E1,-3.828516230E-2,-2.009970993E-1,-9.757930756E0
1.461742058E1,-6.699903309E-2,-1.962114573E-1,-9.633503914E0
1.461953944E1,-3.828516230E-2,-2.632105052E-1,-9.700503349E0
1.462165829E1,-7.178468257E-2,-1.962114573E-1,-9.853643417E0
1.462377714E1,-3.349951655E-2,-2.009970993E-1,-9.934999466E0
1.462589600E1,-3.828516230E-2,-2.392822653E-1,-9.896714211E0
1.462801485E1,-7.178468257E-2,-2.297109663E-1,-9.710074425E0
1.463013371E1,-2.392822690E-2,-2.344966233E-1,-9.662218094E0
1.463225256E1,-6.699903309E-2,-2.344966233E-1,-9.925428391E0
1.463437142E1,-1.914258115E-2,-1.818545163E-1,-9.896714211E0
1.463649027E1,-5.742774159E-2,-1.962114573E-1,-9.863214493E0
1.463860907E1,-3.349951655E-2,-2.009970993E-1,-9.676574707E0
